epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1409.64,0.57114,0.63738,0.97457,0.62788,0.70068,0.70659,0.58443,0.87658,1.25963,1.21824,0.000185953,0.000185953,0.000185953
43,1457.21,0.61209,0.63971,0.99435,0.75331,0.70393,0.7514,0.6299,0.89894,1.33293,1.27061,0.000182855,0.000182855,0.000182855
44,1489.63,0.60361,0.61389,0.98437,0.78414,0.62892,0.74313,0.61882,0.8477,1.19535,1.22962,0.000179756,0.000179756,0.000179756
45,1515.51,0.60594,0.60197,0.99442,0.72332,0.68649,0.73536,0.59903,0.88776,1.31169,1.27049,0.000176657,0.000176657,0.000176657
46,1546.87,0.58111,0.59328,0.98737,0.68397,0.70682,0.7435,0.60949,0.87151,1.28148,1.25223,0.000173559,0.000173559,0.000173559
47,1578.91,0.5756,0.58769,0.99672,0.55019,0.70456,0.71805,0.59104,0.83489,1.38993,1.22523,0.00017046,0.00017046,0.00017046
48,1610.57,0.55832,0.5486,0.97933,0.70093,0.59006,0.71381,0.58151,0.90465,1.37209,1.28102,0.000167361,0.000167361,0.000167361
49,1641.03,0.59435,0.56931,0.97989,0.69573,0.60303,0.67283,0.55879,0.89073,1.48498,1.26213,0.000164262,0.000164262,0.000164262
50,1672.63,0.57851,0.58037,1.00497,0.66608,0.73293,0.76808,0.63138,0.8698,1.15144,1.25892,0.000161164,0.000161164,0.000161164
51,1704.7,0.51781,0.50111,0.96055,0.71325,0.64929,0.74596,0.61165,0.89308,1.36641,1.26527,0.000158065,0.000158065,0.000158065
52,1737.74,0.59077,0.59971,0.99152,0.7895,0.62087,0.74701,0.62113,0.8939,1.43314,1.25477,0.000154966,0.000154966,0.000154966
53,1768.21,0.55559,0.55396,0.97341,0.73351,0.68647,0.7579,0.62107,0.87032,1.33663,1.25524,0.000151868,0.000151868,0.000151868
54,1801.21,0.54274,0.51826,0.96156,0.82354,0.61108,0.76501,0.63254,0.84498,1.33685,1.22649,0.000148769,0.000148769,0.000148769
55,1848.97,0.55184,0.53455,0.96411,0.76557,0.66175,0.76213,0.62832,0.8622,1.24738,1.23387,0.00014567,0.00014567,0.00014567
56,1880.74,0.53203,0.50726,0.95011,0.64789,0.72572,0.75671,0.63348,0.86619,1.28432,1.21888,0.000142572,0.000142572,0.000142572
57,1911.39,0.51708,0.62441,0.9616,0.81073,0.66896,0.74464,0.60997,0.88803,1.22591,1.23824,0.000139473,0.000139473,0.000139473
58,1939.37,0.4886,0.488,0.94787,0.80988,0.66852,0.78374,0.64889,0.8539,1.35372,1.21881,0.000136374,0.000136374,0.000136374
59,1970.96,0.51137,0.48037,0.95903,0.80222,0.69257,0.78549,0.64639,0.88646,1.22572,1.25772,0.000133275,0.000133275,0.000133275
60,2004.19,0.48279,0.45665,0.93839,0.81191,0.65953,0.76466,0.62972,0.85406,1.21052,1.22329,0.000130177,0.000130177,0.000130177
61,2036.62,0.49716,0.44002,0.95014,0.70515,0.68836,0.76892,0.63408,0.86742,1.19659,1.25008,0.000127078,0.000127078,0.000127078
62,2063.03,0.47569,0.42958,0.94152,0.76729,0.65486,0.74122,0.61553,0.89476,1.25499,1.27168,0.000123979,0.000123979,0.000123979
63,2125.29,0.47559,0.4392,0.94519,0.82641,0.65193,0.77354,0.64062,0.87303,1.27374,1.26143,0.000120881,0.000120881,0.000120881
64,2158.02,0.46929,0.44391,0.93902,0.80294,0.68117,0.75435,0.62446,0.87562,1.25842,1.25341,0.000117782,0.000117782,0.000117782
65,2190.31,0.45162,0.43003,0.94956,0.75566,0.6438,0.755,0.63151,0.85966,1.31048,1.23513,0.000114683,0.000114683,0.000114683
66,2216.69,0.47137,0.44729,0.93499,0.69494,0.69133,0.73053,0.60361,0.87537,1.35115,1.27164,0.000111585,0.000111585,0.000111585
67,2249.72,0.46629,0.43774,0.93424,0.73082,0.70357,0.76701,0.63698,0.86231,1.25344,1.24929,0.000108486,0.000108486,0.000108486
68,2282.43,0.45551,0.43761,0.92236,0.70471,0.7255,0.75611,0.62618,0.86993,1.20511,1.26419,0.000105387,0.000105387,0.000105387
69,2313.04,0.45797,0.54065,0.95447,0.66108,0.71382,0.76682,0.6326,0.8708,1.34634,1.27027,0.000102288,0.000102288,0.000102288
70,2339.62,0.4354,0.4274,0.92307,0.77233,0.69553,0.76904,0.64353,0.86303,1.25432,1.26377,9.91897e-05,9.91897e-05,9.91897e-05
71,2372.42,0.44912,0.381,0.91965,0.7876,0.66645,0.75046,0.61976,0.84325,1.3077,1.22511,9.6091e-05,9.6091e-05,9.6091e-05
72,2398.7,0.44369,0.44142,0.94299,0.77315,0.69937,0.75244,0.6241,0.87185,1.27849,1.25233,9.29923e-05,9.29923e-05,9.29923e-05
73,2429.76,0.44587,0.39485,0.9349,0.73711,0.71975,0.76883,0.63997,0.87961,1.26373,1.26894,8.98936e-05,8.98936e-05,8.98936e-05
74,2456.13,0.44309,0.36464,0.91279,0.64138,0.72114,0.73972,0.61111,0.86434,1.31055,1.25493,8.67949e-05,8.67949e-05,8.67949e-05
75,2482.63,0.40422,0.33644,0.92586,0.72037,0.67671,0.75276,0.61466,0.8545,1.29008,1.23697,8.36962e-05,8.36962e-05,8.36962e-05
76,2513.81,0.40447,0.37077,0.92665,0.75431,0.67266,0.75803,0.62749,0.84103,1.24226,1.22133,8.05975e-05,8.05975e-05,8.05975e-05
77,2540.09,0.39027,0.35803,0.91097,0.71453,0.74397,0.75593,0.624,0.84882,1.26439,1.24068,7.74988e-05,7.74988e-05,7.74988e-05
78,2572.89,0.38447,0.32945,0.90217,0.71141,0.68014,0.72906,0.59415,0.89469,1.32945,1.27981,7.44001e-05,7.44001e-05,7.44001e-05
